path,line_count
"ia_carmine\product\generated_patch_specs\review_cli.py",5
"ia_carmine\product\generated_patch_specs\review_common.py",170
"ia_carmine\product\generated_patch_specs\review_markdown.py",29
"ia_carmine\product\generated_patch_specs\TOOL_CONTEXT.md",46
"ia_carmine\product\heap_final_proposals\__init__.py",1
"ia_carmine\product\heap_final_proposals\artifacts.py",371
"ia_carmine\product\heap_final_proposals\cli.py",263
"ia_carmine\product\heap_final_proposals\common.py",116
"ia_carmine\product\heap_final_proposals\documents.py",90
"ia_carmine\product\heap_final_proposals\normalize_final_causality\__init__.py",3
"ia_carmine\product\heap_final_proposals\normalize_final_causality\cli.py",314
"ia_carmine\product\heap_final_proposals\rendering.py",231
"ia_carmine\product\heap_final_proposals\TOOL_CONTEXT.md",19
"ia_carmine\product\matrix\__init__.py",1
"ia_carmine\product\operator_product_core\__init__.py",41
"ia_carmine\product\operator_product_core\__main__.py",4
"ia_carmine\product\operator_product_core\cli.py",130
"ia_carmine\product\operator_product_core\cli_contract.py",30
"ia_carmine\product\operator_product_core\controller.py",29
"ia_carmine\product\operator_product_core\direct_command.py",119
"ia_carmine\product\operator_product_core\io_utils.py",22
"ia_carmine\product\operator_product_core\markdown.py",87
"ia_carmine\product\operator_product_core\models.py",110
"ia_carmine\product\operator_product_core\public_documents.py",140
"ia_carmine\product\operator_product_core\runner.py",344
"ia_carmine\product\operator_product_core\TOOL_CONTEXT.md",45
"ia_carmine\product\operator_product_core\view\__init__.py",1
"ia_carmine\product\operator_product_core\view\cli.py",237
"ia_carmine\product\patch_product\__init__.py",1
"ia_carmine\product\patch_product\candidate_synthesis\__init__.py",3
"ia_carmine\product\patch_product\candidate_synthesis\cli.py",295
"ia_carmine\product\patch_product\candidate_synthesis\evidence_diff.py",169
"ia_carmine\product\patch_product\patch_notes_quality_product\__init__.py",1
"ia_carmine\product\patch_product\patch_notes_quality_product\builder.py",246
"ia_carmine\product\patch_product\patch_notes_quality_product\cli.py",65
"ia_carmine\product\patch_product\patch_notes_quality_product\evidence_quality.py",72
"ia_carmine\product\patch_product\patch_notes_quality_product\note_scoring.py",189
"ia_carmine\product\patch_product\patch_notes_quality_product\reporting.py",122
"ia_carmine\product\patch_product\patch_notes_quality_product\scoring.py",53
"ia_carmine\product\patch_product\patch_notes_quality_product\scoring_common.py",40
"ia_carmine\product\patch_product\patch_notes_quality_product\sufficiency.py",240
"ia_carmine\product\patch_product\patch_notes_quality_product\task_md.py",87
"ia_carmine\product\patch_product\patch_plan_generator\__init__.py",3
"ia_carmine\product\patch_product\patch_plan_generator\cli.py",114
"ia_carmine\product\patch_product\patch_plan_quality_product\__init__.py",1
"ia_carmine\product\patch_product\patch_plan_quality_product\builder.py",187
"ia_carmine\product\patch_product\patch_plan_quality_product\cli.py",6
"ia_carmine\product\patch_product\patch_plan_quality_product\io_utils.py",46
"ia_carmine\product\patch_product\patch_plan_quality_product\reporting.py",35
"ia_carmine\product\patch_product\patch_plan_quality_product\scoring.py",97
"ia_carmine\product\patch_product\patch_plan_quality_product\token_search.py",124
"ia_carmine\product\patch_product\patch_plan_quality_product_report\__init__.py",3
"ia_carmine\product\patch_product\patch_plan_quality_product_report\cli.py",57
"ia_carmine\product\patch_product\patch_suggestion_bundle\__init__.py",1
"ia_carmine\product\patch_product\patch_suggestion_bundle\cli.py",248
"ia_carmine\product\patch_product\patch_suggestion_bundle\common.py",175
"ia_carmine\product\patch_product\patch_suggestion_bundle\discovery.py",72
"ia_carmine\product\patch_product\patch_suggestion_bundle\git_branch.py",162
"ia_carmine\product\patch_product\patch_suggestion_bundle\operations.py",283
"ia_carmine\product\patch_product\patch_suggestion_bundle\product.py",126
"ia_carmine\product\patch_product\patch_suggestion_bundle\task_markdown.py",163
"ia_carmine\product\patch_product\task_patch_suggestion_markdown\__init__.py",3
"ia_carmine\product\patch_product\task_patch_suggestion_markdown\cli.py",137
"ia_carmine\product\patch_product\task_patch_suggestion_report\__init__.py",3
"ia_carmine\product\patch_product\task_patch_suggestion_report\cli.py",50
"ia_carmine\product\patch_product\TOOL_CONTEXT.md",82
"ia_carmine\product\patchkit\__init__.py",7
"ia_carmine\product\patchkit\anchors.py",43
"ia_carmine\product\patchkit\apply_patch_bundle.py",312
"ia_carmine\product\patchkit\filesystem.py",47
"ia_carmine\product\patchkit\powershell.py",54
"ia_carmine\product\patchkit\reports.py",33
"ia_carmine\product\patchkit\TOOL_CONTEXT.md",70
"ia_carmine\product\pipeline\__init__.py",20
"ia_carmine\product\pipeline\artifact_contracts.py",76
"ia_carmine\product\pipeline\artifact_runner\__init__.py",3
"ia_carmine\product\pipeline\artifact_runner\cli.py",72
"ia_carmine\product\pipeline\cli.py",70
"ia_carmine\product\pipeline\compat.py",61
"ia_carmine\product\pipeline\defaults.py",13
"ia_carmine\product\pipeline\dry_run_matrix\__init__.py",5
"ia_carmine\product\pipeline\dry_run_matrix\case_groups_basic.py",190
"ia_carmine\product\pipeline\dry_run_matrix\case_groups_full.py",89
"ia_carmine\product\pipeline\dry_run_matrix\case_groups_review.py",136
"ia_carmine\product\pipeline\dry_run_matrix\cases.py",40
"ia_carmine\product\pipeline\dry_run_matrix\cli.py",62
"ia_carmine\product\pipeline\dry_run_matrix\common.py",66
"ia_carmine\product\pipeline\dry_run_matrix\evidence_cli.py",329
"ia_carmine\product\pipeline\dry_run_matrix\runner.py",110
"ia_carmine\product\pipeline\guardrail_models.py",76
"ia_carmine\product\pipeline\markdown_report.py",100
"ia_carmine\product\pipeline\models.py",131
"ia_carmine\product\pipeline\orchestrator.py",27
"ia_carmine\product\pipeline\preflight.py",120
"ia_carmine\product\pipeline\README.md",104
"ia_carmine\product\pipeline\refactor_status.py",64
"ia_carmine\product\pipeline\remediation.py",178
"ia_carmine\product\pipeline\reports.py",58
"ia_carmine\product\pipeline\runner.py",89
"ia_carmine\product\pipeline\scheduler.py",51
"ia_carmine\product\pipeline\schema_report.py",112
"ia_carmine\product\pipeline\steps.py",213
"ia_carmine\product\pipeline\TOOL_CONTEXT.md",21
"ia_carmine\product\pipeline\validate_ai_artifacts\__init__.py",3
"ia_carmine\product\pipeline\validate_ai_artifacts\cli.py",206
"ia_carmine\product\pipeline\validation_step\__init__.py",3
"ia_carmine\product\pipeline\validation_step\cli.py",129
"ia_carmine\product\repository_product\__init__.py",1
"ia_carmine\product\repository_product\github_evidence_bundle\__init__.py",3
"ia_carmine\product\repository_product\github_evidence_bundle\cli.py",278
"ia_carmine\product\repository_product\github_evidence_bundle_code_plan_enrichment\__init__.py",3
"ia_carmine\product\repository_product\github_evidence_bundle_code_plan_enrichment\cli.py",233
"ia_carmine\product\repository_product\github_evidence_bundle_ready\__init__.py",3
"ia_carmine\product\repository_product\github_evidence_bundle_ready\cli.py",160
"ia_carmine\product\repository_product\megalithic_repo_review\__init__.py",8
"ia_carmine\product\repository_product\megalithic_repo_review\analysis.py",201
"ia_carmine\product\repository_product\megalithic_repo_review\cli.py",50
"ia_carmine\product\repository_product\megalithic_repo_review\collectors.py",125
"ia_carmine\product\repository_product\megalithic_repo_review\common.py",242
"ia_carmine\product\repository_product\megalithic_repo_review\provider.py",56
"ia_carmine\product\repository_product\megalithic_repo_review\reporting.py",95
"ia_carmine\product\repository_product\megalithic_repo_review\runner.py",106
"ia_carmine\product\repository_product\megalithic_review_pr_draft\__init__.py",3
"ia_carmine\product\repository_product\megalithic_review_pr_draft\cli.py",238
"ia_carmine\product\repository_product\megalithic_review_refinement\__init__.py",1
"ia_carmine\product\repository_product\megalithic_review_refinement\cli.py",50
"ia_carmine\product\repository_product\megalithic_review_refinement\common.py",181
"ia_carmine\product\repository_product\megalithic_review_refinement\doc_refs.py",131
"ia_carmine\product\repository_product\megalithic_review_refinement\duplicates.py",77
"ia_carmine\product\repository_product\megalithic_review_refinement\report.py",116
"ia_carmine\product\repository_product\refactor_duplication_audit\__init__.py",5
"ia_carmine\product\repository_product\refactor_duplication_audit\candidates.py",149
"ia_carmine\product\repository_product\refactor_duplication_audit\cli.py",64
"ia_carmine\product\repository_product\refactor_duplication_audit\common.py",156
"ia_carmine\product\repository_product\refactor_duplication_audit\markdown.py",66
"ia_carmine\product\repository_product\refactor_duplication_audit\report.py",130
"ia_carmine\product\repository_product\refactor_duplication_audit\reports.py",187
"ia_carmine\product\repository_product\refactor_duplication_audit\scanner.py",77
"ia_carmine\product\repository_product\repository_change_proposals\__init__.py",5
"ia_carmine\product\repository_product\repository_change_proposals\builder.py",161
"ia_carmine\product\repository_product\repository_change_proposals\cli.py",93
"ia_carmine\product\repository_product\repository_change_proposals\common.py",206
"ia_carmine\product\repository_product\repository_change_proposals\markdown.py",60
"ia_carmine\product\repository_product\repository_change_proposals\proposal_models.py",56
"ia_carmine\product\repository_product\repository_change_proposals\proposal_templates.py",158
"ia_carmine\product\repository_product\repository_change_proposals\provider_checks.py",54
"ia_carmine\product\repository_product\repository_change_proposals\runtime_peer.py",144
"ia_carmine\product\repository_product\repository_consistency_map\__init__.py",5
"ia_carmine\product\repository_product\repository_consistency_map\builder.py",171
"ia_carmine\product\repository_product\repository_consistency_map\cli.py",105
"ia_carmine\product\repository_product\repository_consistency_map\constants.py",34
"ia_carmine\product\repository_product\repository_consistency_map\findings.py",210
"ia_carmine\product\repository_product\repository_consistency_map\markdown.py",152
"ia_carmine\product\repository_product\repository_consistency_map\paths.py",179
"ia_carmine\product\repository_product\repository_consistency_map\python_inventory.py",243
"ia_carmine\product\repository_product\repository_consistency_map\render.py",74
"ia_carmine\product\repository_product\repository_update_suggestions\__init__.py",3
"ia_carmine\product\repository_product\repository_update_suggestions\cli.py",134
"ia_carmine\product\repository_product\repository_update_suggestions\common.py",236
"ia_carmine\product\repository_product\repository_update_suggestions\context.py",87
"ia_carmine\product\repository_product\repository_update_suggestions\markdown.py",71
"ia_carmine\product\repository_product\repository_update_suggestions\provider.py",12
"ia_carmine\product\repository_product\repository_update_suggestions\routing.py",75
"ia_carmine\product\repository_product\repository_update_suggestions\suggestions.py",98
"ia_carmine\product\repository_product\review_pr_prepare_args\__init__.py",3
"ia_carmine\product\repository_product\review_pr_prepare_args\cli.py",200
"ia_carmine\product\repository_product\TOOL_CONTEXT.md",65
"ia_carmine\providers\__init__.py",1
"ia_carmine\providers\gpu0\__init__.py",1
"ia_carmine\providers\gpu1\__init__.py",1
"ia_carmine\providers\npu\__init__.py",1
"ia_carmine\providers\npu\dual_ai_pipeline\__init__.py",7
"ia_carmine\providers\npu\dual_ai_pipeline\cli.py",282
"ia_carmine\providers\npu\dual_ai_pipeline\common.py",234
"ia_carmine\providers\npu\dual_ai_pipeline\deterministic_scene.py",331
"ia_carmine\providers\npu\dual_ai_pipeline\implementation.py",5
"ia_carmine\providers\npu\dual_ai_pipeline\implementation_fallback.py",139
"ia_carmine\providers\npu\dual_ai_pipeline\implementation_generation.py",92
"ia_carmine\providers\npu\dual_ai_pipeline\implementation_parse.py",84
"ia_carmine\providers\npu\dual_ai_pipeline\implementation_validation.py",115
"ia_carmine\providers\npu\dual_ai_pipeline\prompts.py",298
"ia_carmine\providers\npu\dual_ai_pipeline\technical.py",107
"ia_carmine\providers\npu\dual_ai_pipeline\TOOL_CONTEXT.md",19
"ia_carmine\providers\npu\dual_ai_pipeline\writers.py",98
"ia_carmine\providers\npu\paths.py",10
"ia_carmine\providers\npu\pipeline\__init__.py",154
"ia_carmine\providers\npu\pipeline\artifact_paths.py",100
"ia_carmine\providers\npu\pipeline\artifact_writer.py",42
"ia_carmine\providers\npu\pipeline\config.py",91
"ia_carmine\providers\npu\pipeline\context_builder.py",60
"ia_carmine\providers\npu\pipeline\fixtures.py",70
"ia_carmine\providers\npu\pipeline\io_utils.py",39
"ia_carmine\providers\npu\pipeline\legacy_compat.py",45
"ia_carmine\providers\npu\pipeline\migration_readiness.py",59
